web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,type,prix,adresse,image
"1739009626-1","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble crop top","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-crop-top-4709483","","","",""
"1739009633-2","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble petit garçon","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-petit-garcon-4709506","","","",""
"1739009644-3","https://sn.coinafrique.com/categorie/vetements-enfants","Robe enfant","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-4666224","","","",""
"1739009656-4","https://sn.coinafrique.com/categorie/vetements-enfants","Vetement  enfants","https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfants-4667484","","","",""
"1739009667-5","https://sn.coinafrique.com/categorie/vetements-enfants","Slips pour enfants 2 - 8 ans","https://sn.coinafrique.com/annonce/vetements-enfants/slips-pour-enfants-2-8-ans-4668016","","","",""
"1739009678-6","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfants","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-4669723","","","",""
"1739009693-7","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble 3 pièces enfants","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-3-pieces-enfants-4669732","","","",""
"1739009702-8","https://sn.coinafrique.com/categorie/vetements-enfants","Djellaba enfants","https://sn.coinafrique.com/annonce/vetements-enfants/djellaba-enfants-4682799","","","",""
"1739009713-9","https://sn.coinafrique.com/categorie/vetements-enfants","Djellaba enfants","https://sn.coinafrique.com/annonce/vetements-enfants/djellaba-enfants-4682804","","","",""
"1739009725-10","https://sn.coinafrique.com/categorie/vetements-enfants","Djellaba enfants","https://sn.coinafrique.com/annonce/vetements-enfants/djellaba-enfants-4682806","","","",""
"1739009736-11","https://sn.coinafrique.com/categorie/vetements-enfants","Djellaba enfant","https://sn.coinafrique.com/annonce/vetements-enfants/djellaba-enfant-4683616","","","",""
"1739009748-12","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfant","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfant-4743643","","","",""
"1739009761-13","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfant","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfant-4750299","","","",""
"1739009772-14","https://sn.coinafrique.com/categorie/vetements-enfants","Slip enfant","https://sn.coinafrique.com/annonce/vetements-enfants/slip-enfant-4766856","","","",""
"1739009783-15","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfant","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfant-4770789","","","",""
"1739009790-16","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtement enfant","https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfant-4730553","","","",""
"1739009798-17","https://sn.coinafrique.com/categorie/vetements-enfants","Robe enfant","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-4783648","","","",""
"1739009806-18","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble bas","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-bas-4775846","","","",""
"1739009813-19","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble bas","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-bas-4775865","","","",""
"1739009829-20","https://sn.coinafrique.com/categorie/vetements-enfants","Robes brodé","https://sn.coinafrique.com/annonce/vetements-enfants/robes-brode-4775869","","","",""
"1739009841-21","https://sn.coinafrique.com/categorie/vetements-enfants","Robe coton fille 2 - 5 ans","https://sn.coinafrique.com/annonce/vetements-enfants/robe-coton-fille-2-5-ans-4775884","","","",""
"1739009849-22","https://sn.coinafrique.com/categorie/vetements-enfants","Robe en coton 9 - 24 mois","https://sn.coinafrique.com/annonce/vetements-enfants/robe-en-coton-9-24-mois-4775887","","","",""
"1739009857-23","https://sn.coinafrique.com/categorie/vetements-enfants","Robe brodé","https://sn.coinafrique.com/annonce/vetements-enfants/robe-brode-4775889","","","",""
"1739009866-24","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble coton fille","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-coton-fille-4775892","","","",""
"1739009875-25","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble bas large fille 10 - 14 ans","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-bas-large-fille-10-14-ans-4775932","","","",""
"1739009881-26","https://sn.coinafrique.com/categorie/vetements-enfants","Grenouillère 0 - 9 mois","https://sn.coinafrique.com/annonce/vetements-enfants/grenouillere-0-9-mois-4775960","","","",""
"1739009890-27","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble 5 pieces","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-5-pieces-4775968","","","",""
"1739009896-28","https://sn.coinafrique.com/categorie/vetements-enfants","Robe pour anniversaire ou cérémonie","https://sn.coinafrique.com/annonce/vetements-enfants/robe-pour-anniversaire-ou-ceremonie-4775993","","","",""
"1739009903-29","https://sn.coinafrique.com/categorie/vetements-enfants","Robe anniversaire ou cérémonie","https://sn.coinafrique.com/annonce/vetements-enfants/robe-anniversaire-ou-ceremonie-4775997","","","",""
"1739009912-30","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble enfant","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-enfant-4773123","","","",""
"1739009920-31","https://sn.coinafrique.com/categorie/vetements-enfants","Couverture bébé","https://sn.coinafrique.com/annonce/vetements-enfants/couverture-bebe-4782346","","","",""
"1739009931-32","https://sn.coinafrique.com/categorie/vetements-enfants","Robe brodé","https://sn.coinafrique.com/annonce/vetements-enfants/robe-brode-4787486","","","",""
"1739009940-33","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble 3  pièces","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-3-pieces-4788092","","","",""
"1739009949-34","https://sn.coinafrique.com/categorie/vetements-enfants","Robes princesse","https://sn.coinafrique.com/annonce/vetements-enfants/robes-princesse-4804282","","","",""
"1739009958-35","https://sn.coinafrique.com/categorie/vetements-enfants","Robe princesse","https://sn.coinafrique.com/annonce/vetements-enfants/robe-princesse-4804290","","","",""
"1739009966-36","https://sn.coinafrique.com/categorie/vetements-enfants","Slips pour enfants","https://sn.coinafrique.com/annonce/vetements-enfants/slips-pour-enfants-4811384","","","",""
"1739009974-37","https://sn.coinafrique.com/categorie/vetements-enfants","Cuissards","https://sn.coinafrique.com/annonce/vetements-enfants/cuissards-4881948","","","",""
"1739009989-38","https://sn.coinafrique.com/categorie/vetements-enfants","Pyjama enfant en coton","https://sn.coinafrique.com/annonce/vetements-enfants/pyjama-enfant-en-coton-4882618","","","",""
"1739010000-39","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble pour garçon","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-garcon-4885315","","","",""
"1739010006-40","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements de garçon","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-de-garcon-4885328","","","",""
"1739010013-41","https://sn.coinafrique.com/categorie/vetements-enfants","Robe fille","https://sn.coinafrique.com/annonce/vetements-enfants/robe-fille-4885783","","","",""
"1739010021-42","https://sn.coinafrique.com/categorie/vetements-enfants","Robe pour fille","https://sn.coinafrique.com/annonce/vetements-enfants/robe-pour-fille-4886076","","","",""
"1739010028-43","https://sn.coinafrique.com/categorie/vetements-enfants","Body pour bébé de 0-24mois","https://sn.coinafrique.com/annonce/vetements-enfants/body-pour-bebe-de-0-24mois-4877371","","","",""
"1739010035-44","https://sn.coinafrique.com/categorie/vetements-enfants","Grenouillère bébé de 0- 24 mois","https://sn.coinafrique.com/annonce/vetements-enfants/grenouillere-bebe-de-0-24-mois-4877415","","","",""
"1739010044-45","https://sn.coinafrique.com/categorie/vetements-enfants","Serviette de bain pour bébé","https://sn.coinafrique.com/annonce/vetements-enfants/serviette-de-bain-pour-bebe-4861240","","","",""
"1739010052-46","https://sn.coinafrique.com/categorie/vetements-enfants","Robe enfant","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-4910319","","","",""
"1739010060-47","https://sn.coinafrique.com/categorie/vetements-enfants","Peignoirs enfants","https://sn.coinafrique.com/annonce/vetements-enfants/peignoirs-enfants-4866825","","","",""
"1739010069-48","https://sn.coinafrique.com/categorie/vetements-enfants","Veste Softshell","https://sn.coinafrique.com/annonce/vetements-enfants/veste-softshell-4931208","","","",""
"1739010078-49","https://sn.coinafrique.com/categorie/vetements-enfants","Veste Jacadi","https://sn.coinafrique.com/annonce/vetements-enfants/veste-jacadi-4931211","","","",""
"1739010087-50","https://sn.coinafrique.com/categorie/vetements-enfants","Vetement enfants","https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfants-4931868","","","",""
"1739010101-51","https://sn.coinafrique.com/categorie/vetements-enfants","Pantalon enfants","https://sn.coinafrique.com/annonce/vetements-enfants/pantalon-enfants-4945928","","","",""
"1739010115-52","https://sn.coinafrique.com/categorie/vetements-enfants","Jeans enfants","https://sn.coinafrique.com/annonce/vetements-enfants/jeans-enfants-4991997","","","",""
"1739010130-53","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble pour enfant 0ans jusqua 15ans","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-enfant-0ans-jusqua-15ans-4957241","","","",""
"1739010149-54","https://sn.coinafrique.com/categorie/vetements-enfants","Robes de fête","https://sn.coinafrique.com/annonce/vetements-enfants/robes-de-fete-5002636","","","",""
"1739010161-55","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble pour enfant","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-enfant-4961210","","","",""
"1739010178-56","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements   pour enfant","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-pour-enfant-4961200","","","",""
"1739010197-57","https://sn.coinafrique.com/categorie/vetements-enfants","Costume enfant","https://sn.coinafrique.com/annonce/vetements-enfants/costume-enfant-5010301","","","",""
"1739010213-58","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble veste garçon 5 pièces","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-veste-garcon-5-pieces-5010327","","","",""
"1739010231-59","https://sn.coinafrique.com/categorie/vetements-enfants","Lot pyjamas enfant 6/8 ans","https://sn.coinafrique.com/annonce/vetements-enfants/lot-pyjamas-enfant-6-8-ans-5014321","","","",""
"1739010248-60","https://sn.coinafrique.com/categorie/vetements-enfants","Pantalon pour enfant 14ans 15ans","https://sn.coinafrique.com/annonce/vetements-enfants/pantalon-pour-enfant-14ans-15ans-4976513","","","",""
"1739010259-61","https://sn.coinafrique.com/categorie/vetements-enfants","Maillots enfants sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/maillots-enfants-senegal-5054255","","","",""
"1739010277-62","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble pour enfant cotton","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-enfant-cotton-5028888","","","",""
"1739010303-63","https://sn.coinafrique.com/categorie/vetements-enfants","robe princesse 10ans","https://sn.coinafrique.com/annonce/vetements-enfants/robe-princesse-10ans-5079189","","","",""
"1739010318-64","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble costumes enfants","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-costumes-enfants-5081958","","","",""
"1739010337-65","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble Pul Enfants","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pul-enfants-5081973","","","",""
"1739010357-66","https://sn.coinafrique.com/categorie/vetements-enfants","Blouson pour enfants 3 ans à 8 ans","https://sn.coinafrique.com/annonce/vetements-enfants/blouson-pour-enfants-3-ans-a-8-ans-5045455","","","",""
"1739010375-67","https://sn.coinafrique.com/categorie/vetements-enfants","Blouson pour enfants 1ans 5 ans","https://sn.coinafrique.com/annonce/vetements-enfants/blouson-pour-enfants-1ans-5-ans-5046156","","","",""
"1739010392-68","https://sn.coinafrique.com/categorie/vetements-enfants","Blouson pour enfants de 4ans à 12ans","https://sn.coinafrique.com/annonce/vetements-enfants/blouson-pour-enfants-de-4ans-a-12ans-5046160","","","",""
"1739010409-69","https://sn.coinafrique.com/categorie/vetements-enfants","Blouson pour enfants 4ans à 15ans","https://sn.coinafrique.com/annonce/vetements-enfants/blouson-pour-enfants-4ans-a-15ans-5046164","","","",""
"1739010426-70","https://sn.coinafrique.com/categorie/vetements-enfants","Blouson coton pour enfants de 1ans 8ans","https://sn.coinafrique.com/annonce/vetements-enfants/blouson-coton-pour-enfants-de-1ans-8ans-5046169","","","",""
"1739010435-71","https://sn.coinafrique.com/categorie/vetements-enfants","Blouson  pour enfants 3ans à 10ans","https://sn.coinafrique.com/annonce/vetements-enfants/blouson-pour-enfants-3ans-a-10ans-5046278","","","",""
"1739010455-72","https://sn.coinafrique.com/categorie/vetements-enfants","Blouson pour enfants 100% coton 3 ans 9ans","https://sn.coinafrique.com/annonce/vetements-enfants/blouson-pour-enfants-100-coton-3-ans-9ans-5046861","","","",""
"1739010468-73","https://sn.coinafrique.com/categorie/vetements-enfants","Blouson pour enfant","https://sn.coinafrique.com/annonce/vetements-enfants/blouson-pour-enfant-5058990","","","",""
"1739010481-74","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements bébé","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-bebe-5106661","","","",""
"1739010493-75","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements bébé","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-bebe-5106669","","","",""
"1739010505-76","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements bébé","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-bebe-5106673","","","",""
"1739010517-77","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements bébé","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-bebe-5106688","","","",""
"1739010528-78","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble pour enfant","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-enfant-5071417","","","",""
"1739010549-79","https://sn.coinafrique.com/categorie/vetements-enfants","Genouillère anti-dérapante en coton","https://sn.coinafrique.com/annonce/vetements-enfants/genouillere-anti-derapante-en-coton-5120586","","","",""
"1739010570-80","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfants","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-5129146","","","",""
"1739010590-81","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfants","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-5130020","","","",""
"1739010612-82","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtement enfant","https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfant-5141487","","","",""
"1739010634-83","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble pour enfant de 1ans jusqua 15ans","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-enfant-de-1ans-jusqua-15ans-5116396","","","",""
"1739010646-84","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble mardi gras","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-mardi-gras-5171755","Ensemble mardi gras","10 000 CFA","Dakar Plateau, Dakar, Sénégal",""
